DATE;ASSETS;PORTFOLIO;ACTUAL PRICE (€);AVG. ANNUAL VOLATILITY (LAST. 5 YEARS);AVG. BUY PRICE;HOLDINGS BUYED;ACTUAL HOLDINGS;TOTAL INVEST MONEY;ACTUAL MONEY;PROFIT/LOSS;PROFIT/LOSS (%);% OF THE PORTOLIO;% OF THE TOTAL;Portfolio Risk Contribution (to the square)
12/02/2025;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;110,84 €;14%;71,51 €;18;18;1.287,18 €;1.995,12 €;707,94 €;55,00%;7,26%;0,35%;0,01%
12/02/2025;BITCOIN;CRYPTO;92.711,77 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;3.158,13 €;2.342,16 €;287,04%;5,10%;0,56%;0,05%
12/02/2025;CARDANO;CRYPTO;0,75 €;70%;1,19 €;200;211,2736383;238,94 €;149,66 €;-89,28 €;-37,37%;0,24%;0,03%;0,00%
12/02/2025;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;117,47 €;-10,13 €;-7,94%;0,19%;0,02%;0,00%
12/02/2025;POLYGON MATIC;CRYPTO;0,30 €;200%;0,67 €;3257,05;3257,05;2.185,81 €;968,00 €;-1.217,81 €;-55,71%;1,56%;0,17%;0,10%
12/02/2025;FANTOM;CRYPTO;0,45 €;120%;1,05 €;1390;705,88;1.462,42 €;629,67 €;-832,75 €;-56,94%;1,02%;0,11%;0,01%
12/02/2025;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;21.200,00 €;25.141,80 €;3.941,80 €;18,59%;8,70%;4,44%;0,00%
15/12/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1000;1000;1.000,00 €;1.000,00 €;0,00 €;0,00%;0,53%;0,18%;0,00%
15/12/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;7618,57;7618,57;7.618,57 €;7.618,57 €;0,00 €;0,00%;4,06%;1,35%;0,00%
15/12/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;26,35;26,35;26,35 €;26,35 €;0,00 €;0,00%;0,01%;0,00%;0,00%
15/12/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;700;700;700,00 €;700,00 €;0,00 €;0,00%;0,37%;0,12%;0,00%
15/12/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;109,31 €;14%;71,51 €;18;18;1.287,18 €;1.967,63 €;680,45 €;52,86%;7,16%;0,35%;0,01%
15/12/2024;BITCOIN;CRYPTO;97.582,62 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;3.324,05 €;2.508,08 €;307,38%;5,37%;0,59%;0,06%
15/12/2024;CARDANO;CRYPTO;1,03 €;70%;1,14 €;200;211,2736383;228,16 €;206,62 €;-21,54 €;-9,44%;0,33%;0,04%;0,00%
15/12/2024;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;203,60 €;76,00 €;59,57%;0,33%;0,04%;0,00%
15/12/2024;POLYGON MATIC;CRYPTO;0,57 €;200%;1,04 €;1049,652461;1120,405329;1.091,22 €;602,50 €;-488,72 €;-44,79%;0,97%;0,11%;0,04%
15/12/2024;FANTOM;CRYPTO;1,23 €;120%;1,00 €;1390;705,88;1.393,89 €;1.709,84 €;315,95 €;22,67%;2,76%;0,30%;0,11%
15/12/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;20.500,00 €;23.995,16 €;3.495,16 €;17,05%;8,30%;4,24%;0,00%
09/11/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1000;1000;1.000,00 €;1.000,00 €;0,00 €;0,00%;0,53%;0,18%;0,00%
09/11/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;8023,01;8023,01;8.023,01 €;8.023,01 €;0,00 €;0,00%;4,27%;1,42%;0,00%
09/11/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;26,35;26,35;26,35 €;26,35 €;0,00 €;0,00%;0,01%;0,00%;0,00%
09/11/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
09/11/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;106,02 €;14%;71,51 €;18;18;1.287,18 €;1.908,31 €;621,13 €;48,25%;6,94%;0,34%;0,01%
09/11/2024;BITCOIN;CRYPTO;70.863,95 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;2.413,91 €;1.597,94 €;195,83%;3,90%;0,43%;0,03%
09/11/2024;CARDANO;CRYPTO;0,41 €;70%;1,14 €;200;211,2736383;228,16 €;81,52 €;-146,64 €;-64,27%;0,13%;0,01%;0,00%
09/11/2024;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;137,07 €;9,47 €;7,43%;0,22%;0,02%;0,00%
09/11/2024;POLYGON MATIC;CRYPTO;0,35 €;200%;1,04 €;1049,652461;1120,405329;1.091,22 €;368,22 €;-723,00 €;-66,26%;0,59%;0,07%;0,01%
09/11/2024;FANTOM;CRYPTO;0,67 €;120%;1,00 €;1390;705,88;1.393,89 €;931,58 €;-462,31 €;-33,17%;1,50%;0,16%;0,03%
09/11/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;20.000,00 €;22.873,41 €;2.873,41 €;14,37%;7,91%;4,04%;0,00%
25/08/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1250;1150;1.250,00 €;1.250,00 €;0,00 €;0,00%;0,67%;0,22%;0,00%
25/08/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;8269,69;8269,69;8.269,69 €;8.269,69 €;0,00 €;0,00%;4,40%;1,46%;0,00%
25/08/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;26,35;26,35;26,35 €;26,35 €;0,00 €;0,00%;0,01%;0,00%;0,00%
25/08/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
25/08/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;95,49 €;14%;71,51 €;18;18;1.287,18 €;1.718,82 €;431,64 €;33,53%;6,25%;0,30%;0,01%
25/08/2024;BITCOIN;CRYPTO;57.101,14 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;1.945,09 €;1.129,12 €;138,38%;3,14%;0,34%;0,02%
25/08/2024;CARDANO;CRYPTO;0,34 €;70%;1,14 €;200;211,2736383;228,16 €;68,20 €;-159,96 €;-70,11%;0,11%;0,01%;0,00%
25/08/2024;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;103,11 €;-24,48 €;-19,19%;0,17%;0,02%;0,00%
25/08/2024;POLYGON MATIC;CRYPTO;0,48 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;503,31 €;-587,91 €;-53,88%;0,81%;0,09%;0,03%
25/08/2024;FANTOM;CRYPTO;0,44 €;120%;1,00 €;1390;705,88;1.393,89 €;606,04 €;-787,85 €;-56,52%;0,98%;0,11%;0,01%
25/08/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;17.900,00 €;19.792,89 €;1.892,89 €;10,57%;6,85%;3,50%;0,00%
20/07/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1250;1150;1.250,00 €;1.250,00 €;0,00 €;0,00%;0,67%;0,22%;0,00%
20/07/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;10086,31;11095,54;10.086,31 €;10.086,31 €;0,00 €;0,00%;5,37%;1,78%;0,00%
20/07/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;26,35;26,35;26,35 €;26,35 €;0,00 €;0,00%;0,01%;0,00%;0,00%
20/07/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
20/07/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;96,10 €;14%;71,51 €;18;18;1.287,18 €;1.729,78 €;442,60 €;34,39%;6,29%;0,31%;0,01%
20/07/2024;BITCOIN;CRYPTO;61.173,11 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;2.083,80 €;1.267,83 €;155,38%;3,36%;0,37%;0,02%
20/07/2024;CARDANO;CRYPTO;0,40 €;70%;1,14 €;200;211,2736383;228,16 €;80,30 €;-147,86 €;-64,81%;0,13%;0,01%;0,00%
20/07/2024;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;126,03 €;-1,56 €;-1,22%;0,20%;0,02%;0,00%
20/07/2024;POLYGON MATIC;CRYPTO;0,49 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;514,75 €;-576,47 €;-52,83%;0,83%;0,09%;0,03%
20/07/2024;FANTOM;CRYPTO;0,48 €;120%;1,00 €;1390;705,88;1.393,89 €;664,98 €;-728,92 €;-52,29%;1,07%;0,12%;0,02%
20/07/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;14.900,00 €;16.712,61 €;1.812,61 €;12,17%;5,78%;2,95%;0,00%
09/06/2024;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;1150;1150;1.150,00 €;1.150,00 €;0,00 €;0,00%;0,61%;0,20%;0,00%
09/06/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;11095,54;11095,54;11.095,54 €;11.095,54 €;0,00 €;0,00%;5,91%;1,96%;0,00%
09/06/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;10,38;10,38;10,38 €;10,38 €;0,00 €;0,00%;0,01%;0,00%;0,00%
09/06/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
09/06/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;94,13 €;14%;71,51 €;18;18;1.287,18 €;1.694,39 €;407,21 €;31,64%;6,16%;0,30%;0,01%
09/06/2024;BITCOIN;CRYPTO;64.135,04 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;2.184,69 €;1.368,72 €;167,74%;3,53%;0,39%;0,03%
09/06/2024;CARDANO;CRYPTO;0,41 €;70%;1,14 €;200;211,2736383;228,16 €;81,58 €;-146,58 €;-64,24%;0,13%;0,01%;0,00%
09/06/2024;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;165,40 €;37,80 €;29,62%;0,27%;0,03%;0,00%
09/06/2024;POLYGON MATIC;CRYPTO;0,60 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;633,05 €;-458,17 €;-41,99%;1,02%;0,11%;0,04%
