DATE;ASSETS;PORTFOLIO;ACTUAL PRICE (€);AVG. ANNUAL VOLATILITY (LAST. 5 YEARS);AVG. BUY PRICE;HOLDINGS BUYED;ACTUAL HOLDINGS;TOTAL INVEST MONEY;ACTUAL MONEY;PROFIT/LOSS;PROFIT/LOSS (%);% OF THE PORTOLIO;% OF THE TOTAL;Portfolio Risk Contribution (to the square)
06/01/2024;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;15159,54;15159,54;15.159,54 €;15.159,54 €;0,00 €;0,00%;8,07%;2,68%;0,00%
06/01/2024;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;10,38;10,38;10,38 €;10,38 €;0,00 €;0,00%;0,01%;0,00%;0,00%
06/01/2024;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
06/01/2024;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;81,44 €;14%;71,51 €;18;18;1.287,18 €;1.465,90 €;178,72 €;13,88%;5,33%;0,26%;0,01%
06/01/2024;BITCOIN;CRYPTO;40.095,35 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;1.365,81 €;549,84 €;67,38%;2,20%;0,24%;0,01%
06/01/2024;CARDANO;CRYPTO;0,48 €;70%;1,14 €;200;211,2736383;228,16 €;96,20 €;-131,96 €;-57,84%;0,16%;0,02%;0,00%
06/01/2024;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;68,31 €;-59,28 €;-46,46%;0,11%;0,01%;0,00%
06/01/2024;POLYGON MATIC;CRYPTO;0,76 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;799,63 €;-291,59 €;-26,72%;1,29%;0,14%;0,07%
06/01/2024;FANTOM;CRYPTO;0,37 €;120%;1,00 €;1390;705,88;1.393,89 €;510,96 €;-882,93 €;-63,34%;0,82%;0,09%;0,01%
06/01/2024;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;8%;N/A;N/A;N/A;6.700,00 €;7.253,07 €;553,07 €;13,20%;2,51%;1,28%;0,00%
08/12/2023;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;860;860;860,00 €;860,00 €;0,00 €;0,00%;0,46%;0,15%;0,00%
08/12/2023;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;14054,53;14054,53;14.054,53 €;14.054,53 €;0,00 €;0,00%;7,49%;2,48%;0,00%
08/12/2023;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;10,38;10,38;10,38 €;10,38 €;0,00 €;0,00%;0,01%;0,00%;0,00%
08/12/2023;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
08/12/2023;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;81,01 €;14%;71,51 €;18;18;1.287,18 €;1.458,25 €;171,07 €;13,29%;5,30%;0,26%;0,01%
08/12/2023;BITCOIN;CRYPTO;40.773,01 €;45%;23.954,00 €;0,03406395;0,03422074;815,97 €;1.388,89 €;572,92 €;70,21%;2,24%;0,25%;0,01%
08/12/2023;CARDANO;CRYPTO;0,50 €;70%;1,14 €;200;211,2736383;228,16 €;100,80 €;-127,36 €;-55,82%;0,16%;0,02%;0,00%
08/12/2023;SHIBA;CRYPTO;0,000009412 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;72,64 €;-54,95 €;-43,07%;0,12%;0,01%;0,00%
08/12/2023;POLYGON MATIC;CRYPTO;0,83 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;869,32 €;-221,90 €;-20,33%;1,40%;0,15%;0,08%
08/12/2023;FANTOM;CRYPTO;0,34 €;120%;1,00 €;1390;705,88;1.393,89 €;469,13 €;-924,77 €;-66,34%;0,76%;0,08%;0,01%
08/12/2023;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;9%;N/A;N/A;N/A;6.200,00 €;6.666,25 €;466,25 €;12,20%;2,31%;1,18%;0,00%
03/12/2023;PERSONAL WALLET;CASH;1,00 €;0%;1,00 €;860;860;860,00 €;860,00 €;0,00 €;0,00%;0,46%;0,15%;0,00%
03/12/2023;CUENTA DE AHORRO BANCO SANTANDER;CASH;1,00 €;0%;1,00 €;14054,53;14054,53;14.054,53 €;14.054,53 €;0,00 €;0,00%;7,49%;2,48%;0,00%
03/12/2023;DEGIRO (Sin Invertir);CASH;1,00 €;0%;1,00 €;10,38;10,38;10,38 €;10,38 €;0,00 €;0,00%;0,01%;0,00%;0,00%
03/12/2023;BINANCE (Sin Invertir);CASH;1,00 €;0%;1,00 €;0;0;0,00 €;0,00 €;0,00 €;#DIV/0!;0,00%;0,00%;0,00%
03/12/2023;VANGUARD FUNDS PLC S&P 500 UCITS ETF USD DIS;ETFs;80,06 €;14%;71,51 €;18;18;1.287,18 €;1.441,03 €;153,85 €;11,95%;5,24%;0,25%;0,01%
03/12/2023;BITCOIN;CRYPTO;36.408,00 €;45%;22.862,28 €;0,03406395;0,03422074;778,78 €;1.240,20 €;461,42 €;59,25%;2,00%;0,22%;0,01%
03/12/2023;CARDANO;CRYPTO;0,36 €;70%;1,14 €;200;211,2736383;228,16 €;71,74 €;-156,42 €;-68,56%;0,12%;0,01%;0,00%
03/12/2023;SHIBA;CRYPTO;0,00 €;100%;0,00 €;7717927,95;7221879,65;127,60 €;65,98 €;-61,62 €;-48,29%;0,11%;0,01%;0,00%
03/12/2023;POLYGON MATIC;CRYPTO;0,74 €;200%;1,04 €;1049,652461;1082,318457;1.091,22 €;778,32 €;-312,90 €;-28,67%;1,26%;0,14%;0,06%
03/12/2023;FANTOM;CRYPTO;0,29 €;120%;1,00 €;1390;705,88;1.393,89 €;399,07 €;-994,82 €;-71,37%;0,64%;0,07%;0,01%
03/12/2023;INDEXA CAPITAL - PERFIL 8;FUNDS;N/A;9%;N/A;N/A;N/A;6.200,00 €;6.599,82 €;399,82 €;6,45%;2,28%;1,17%;0,00%
